text,label,notes
"LeBron's playoff TS% drops 4 points against top-5 defenses this season — that's why defenses key him in pick-and-rolls.",analysis,
"The Rockets' rotational depth explains their late-season collapse: their 2nd-unit defensive rating is 15 points worse than their starters' minutes.",analysis,
"Using on-off data, the team's net rating when Player A sits drops by 8 points — their rotations are the real issue.",analysis,
"Shot selection problems are obvious: they settle for midrange jumpers after the 8th possession on the shot clock.",analysis,
"Their rim protection metric is down because their center's defensive RPM has fallen by 2.5 compared to last year.",analysis,
"Turnover rate spikes in the 4th quarter correspond to their bench handling minutes — depth and ball security are linked.",analysis,
"Coach X's late-game playcalling favors isolation over ball movement; their clutch offensive rating supports that criticism.",analysis,
"The advanced metrics show their 3PA has increased while their true shooting percentage fell — they're volume-shooting inefficiently.",analysis,
"Point differential on the road has collapsed since injury to starter Y, indicating dependence on that player's defense.",analysis,
"Their offensive rebounding percentage is high but a lot are uncontested putbacks, which masks transition defense problems.",analysis,
"He averaged 6 assists in the last ten games, and his assist-to-turnover ratio improved after the trade. That's meaningful.",analysis,
"When comparing two-point attempts in the paint, Team A attacks less than last year — they've lost interior aggression.",analysis,
"The opponent's three-point percentage against them is top-5, highlighting weak closeouts by their wing defenders.",analysis,
"Foul rate per 36 minutes for their backup is off the charts; coaching needs to prioritize technique over aggression.",analysis,
"Their pick-and-roll defense ranks in the bottom quartile — opponent effective field goal percentage on PnR is telling.",analysis,
"Player B's shot profile shifted to more contested jumpers; his usage didn't justify the drop in efficiency.",analysis,
"Historical playoff trends show teams with this defensive rating rarely advance past the second round — it's a structural issue.",analysis,
"Despite high usage, his true shooting remains above 60% because of a strong free-throw rate and finishing at the rim.",analysis,
"Cross-season lineup comparisons show the bench unit concedes 12 more points per 100 possessions than the starters.",analysis,
"Their rotational substitution pattern creates matchup problems by leaving them small against bigger lineups in crunch time.",analysis,
"The data indicates their tempo has slowed; possessions per 48 dropped, and their offensive rating followed.",analysis,
"Against top-10 defenses their offensive efficiency drops by 9 points — they're not adjusting to elite schemes.",analysis,
"His defensive win shares over the last 30 games are the best on the roster; veteran presence matters more than box score shows.",analysis,
"When you control for opponent pace, his steal rate is still above league average — not just a garbage-time stat.",analysis,
"The team's turnover-to-assist ratio worsened after the trade deadline, coinciding with lineup instability.",analysis,
